Bank,Canal,CanalKey,ParentKey,ChildKey,ParentName,ChildName,Class,SectionName,BranchArea,Area_G1,Area_G2,Area_G3,Nov-1,Nov-2,Nov-3,Nov-4,Nov-5,Nov-6,Dec-1,Dec-2,Dec-3,Dec-4,Dec-5,Dec-6,Jan-1,Jan-2,Jan-3,Jan-4,Jan-5,Jan-6,Feb-1,Feb-2,Feb-3,Feb-4,Feb-5,Feb-6,Mar-1,Mar-2,Mar-3,Mar-4,Mar-5,Mar-6,Apr-1,Apr-2,Apr-3,Apr-4,Apr-5,Apr-6,May-1,May-2,May-3,May-4,May-5,May-6,Jun-1,Jun-2,Jun-3,Jun-4,Jun-5,Jun-6,Jul-1,Jul-2,Jul-3,Jul-4,Jul-5,Jul-6,Aug-1,Aug-2,Aug-3,Aug-4,Aug-5,Aug-6,Sep-1,Sep-2,Sep-3,Sep-4,Sep-5,Sep-6,Oct-1,Oct-2,Oct-3,Oct-4,Oct-5,Oct-6
Right,Sindupraja MC.,R_M1,R_Sd_00,R_Sd_01,HW,Excluder Sindupraja,DS,,51566.68,18124.74,16524.340000000004,16917.600000000002,29.061920384516444,22.76852367271448,24.243704714137053,19.941758792200122,2.570568162312098,0.0,2.63832559397202,9.409078716044938,24.016127206068095,11.008765325498006,32.058282350539095,24.538209271811784,22.768069733847994,38.85018678356386,66.55214615623488,57.35234167215208,54.67657386622821,76.20462759472116,8.821318895092688,0.0,37.36422608453359,38.92540641777645,0.8798268019594941,38.9272533733901,28.463479381715814,20.095131429445768,14.709237183975366,32.5022745056608,27.392239126651557,12.577090134173522,2.8327604355995604,4.554160700302923,0.3160933819396815,0.0,0.0,0.0,0.0,0.0,0.0,12.810880732495525,17.191766646360588,38.00176901145626,55.77619398620719,63.464352528899035,71.54092369241403,77.72567811397649,85.93243172094236,96.30599167664134,94.35911090979229,90.25256051717844,85.27634670422906,76.09519841035087,75.10116026925195,79.47769930064376,85.16512808737234,78.38401943831212,74.71051126626568,69.60889529356719,62.77012244804759,55.441321102442465,49.276518837073546,39.93972861058721,36.74688814231944,30.105872051826108,23.81988200160036,21.5081648332714,24.291717232093518,23.742676143410147,24.293878125309558,26.148100192811924,28.12579795253202,25.148929096305338
Left,Cipelang MC.,L_M1,L_Cpl_00,L_Cpl_01,HW,Excluder Cipelang,DS,,35549.709999999985,12373.49,11460.889999999998,11715.329999999998,18.29355638288751,15.687889719489458,17.321631488358058,12.392367192358256,6.000716027734913,0.0,3.2636492329993256,8.219035778134844,15.84288550876389,11.859447195493441,23.04570914392201,27.0792581785648,28.131828447101704,11.838988975903861,55.14742087534713,48.940754117336915,42.73635419402283,46.06905796310903,5.6625366790980785,0.0,24.39370155785607,22.743274423052622,13.70670506318111,25.388679673925484,18.224052813768154,22.489236897005057,9.233740546053383,19.422447605107365,14.871939674842343,10.451132323757339,6.05330790537837,9.940157674611342,5.984629576522254,2.6784548253886613,0.0,0.0,0.0,0.0,0.0,8.565323703135153,10.423179687770606,25.62212908177165,36.10034236364179,42.921695615644325,48.5715699926849,52.997224382378285,58.552201317242904,65.6043126101555,64.19843912968524,62.021870357016326,58.010224381004164,51.7417076128115,51.06371561249714,54.037371468210566,57.910256941288964,53.324753194718326,50.85226111271863,47.457942054255284,42.84680978661193,37.90166839474022,33.68466346944777,27.297414583095186,25.02864628123334,20.443483522543236,16.134569438133475,14.578221865140605,16.483876619983366,16.088098483951082,16.43833307100551,17.681949465234922,19.634324351423178,16.766136477123347
Left,Cipelang MC.,L_M1,L_Cpl_01,L_Cpl_01_1,Excluder Cipelang,Suplesi Kamun,Division,sec01,35549.709999999985,12373.49,11460.889999999998,11715.329999999998,18.29355638288751,15.687889719489458,17.321631488358058,12.392367192358256,6.000716027734913,0.0,3.2636492329993256,8.219035778134844,15.84288550876389,11.859447195493441,23.04570914392201,27.0792581785648,28.131828447101704,11.838988975903861,55.14742087534713,48.940754117336915,42.73635419402283,46.06905796310903,5.6625366790980785,0.0,24.39370155785607,22.743274423052622,13.70670506318111,25.388679673925484,18.224052813768154,22.489236897005057,9.233740546053383,19.422447605107365,14.871939674842343,10.451132323757339,6.05330790537837,9.940157674611342,5.984629576522254,2.6784548253886613,0.0,0.0,0.0,0.0,0.0,8.565323703135153,10.423179687770606,25.62212908177165,36.10034236364179,42.921695615644325,48.5715699926849,52.997224382378285,58.552201317242904,65.6043126101555,64.19843912968524,62.021870357016326,58.010224381004164,51.7417076128115,51.06371561249714,54.037371468210566,57.910256941288964,53.324753194718326,50.85226111271863,47.457942054255284,42.84680978661193,37.90166839474022,33.68466346944777,27.297414583095186,25.02864628123334,20.443483522543236,16.134569438133475,14.578221865140605,16.483876619983366,16.088098483951082,16.43833307100551,17.681949465234922,19.634324351423178,16.766136477123347
Left,Cipelang MC.,L_M1,L_Cpl_01_1,L_Cpl_02,Suplesi Kamun,B.Cpl.1.1,nan,sec02,35454.97999999998,12278.76,11460.889999999998,11715.329999999998,18.22068152949245,15.625392710583851,17.257442147169357,12.35735104052355,6.000716027734913,0.0,3.2404514342968054,8.160615425977461,15.730275346745456,11.775151044429622,22.933356527145683,26.979361500213518,28.09639301918246,11.838988975903861,55.05023613061976,48.849881355795,42.650438128565014,45.965073940957524,5.6625366790980785,0.0,24.31144019918837,22.67591868450881,13.70670506318111,25.362568824302713,18.19025438993199,22.48456699388434,9.233740546053383,19.422447605107365,14.871939674842343,10.451132323757339,6.05330790537837,9.940157674611342,5.984629576522254,2.6784548253886613,0.0,0.0,0.0,0.0,0.0,8.504441959754706,10.349092429313945,25.440008715784067,35.89278080474903,42.729581344926125,48.39696025764425,52.87652769063446,58.430651860581385,65.4799155277867,64.07211063629747,61.89532613440831,57.88766226600287,51.616747096479195,50.94003424354138,53.90617510841759,57.77107860034675,53.20337124545135,50.74359957347395,47.37858923307473,42.791616100108584,37.87121250482253,33.664359542835975,27.285130707495053,24.998748749297466,20.399779320511346,16.08775873532998,14.53055230624143,16.42952047045276,16.026507537770524,16.36660285147319,17.602276857210228,19.55110667781206,16.698481763260173
Left,Cipelang MC.,L_M1,L_Cpl_02,L_Cpl_03,B.Cpl.1.1,B.Cpl.1.2,Other,sec03,35448.709999999985,12272.49,11460.889999999998,11715.329999999998,18.21585808041837,15.621256151459622,17.25319357576375,12.355033387488572,6.000716027734913,0.0,3.238916015761338,8.156748693073135,15.722821892550844,11.769571641208145,22.925920119384806,26.972749527519944,28.094047615054375,11.838988975903861,55.04380365569692,48.843866659132196,42.64475150626563,45.95819143468824,5.6625366790980785,0.0,24.305995475037136,22.671460535235404,13.70670506318111,25.360840596422054,18.188017336016095,22.484257901806156,9.233740546053383,19.422447605107365,14.871939674842343,10.451132323757339,6.05330790537837,9.940157674611342,5.984629576522254,2.6784548253886613,0.0,0.0,0.0,0.0,0.0,8.500412312008528,10.344188733435942,25.427954512313764,35.87904269671296,42.71686566375434,48.38540316866816,52.86853900429187,58.42260673133755,65.4716819195691,64.06374919162796,61.88695041102867,57.87955011081383,51.60847619563043,50.93184800704447,53.89749146885355,57.761866648507755,53.19533720320598,50.736407471171994,47.37333701953307,42.787962934117076,37.86919668692129,33.663015664235154,27.284317660941554,24.996769888057752,20.39688662182307,16.084660423215784,14.527397148062418,16.42592273945353,16.02243094922886,16.361855163555234,17.597003477580596,19.545598656978726,16.694003825374374
Left,Cipelang MC.,L_M1,L_Cpl_03,L_Cpl_04,B.Cpl.1.2,B.Cpl.1.3,Other,sec04,35227.459999999985,12051.24,11460.889999999998,11715.329999999998,18.045652640603564,15.475289053176443,17.103273890996512,12.27325017632602,6.000716027734913,0.0,3.1847355770098043,8.020302974559245,15.45981124812375,11.572690785904967,22.663510993851574,26.739432309265734,28.01128514881209,11.838988975903861,54.816820389879005,48.631625568757975,42.44408720263909,45.71532787614271,5.6625366790980785,0.0,24.113867051040227,22.514145459200172,13.70670506318111,25.299856478623703,18.10907823252458,22.47335094450163,9.233740546053383,19.422447605107365,14.871939674842343,10.451132323757339,6.05330790537837,9.940157674611342,5.984629576522254,2.6784548253886613,0.0,0.0,0.0,0.0,0.0,8.358217804218768,10.171151618123618,25.00259685397159,35.39426496099013,42.26816638795573,47.97758722991865,52.586641579523345,58.13871760132213,65.18114191667559,63.76869821345795,61.59139557885275,57.59329583081768,51.316620244627345,50.64297961391175,53.591071173232415,57.436803754667736,52.91183930100691,50.482619172239374,47.18800173307473,42.6590533686271,37.79806435667438,33.61559411073721,27.2556276210753,24.926941650532036,20.29481172791875,15.975330031626278,14.416060824759949,16.298969313045347,15.878580037770528,16.194323113818864,17.410921301654668,19.351236677812064,16.535990466963874
Left,Cipelang MC.,L_M1,L_Cpl_04,L_Cpl_05,B.Cpl.1.3,B.Cpl.1.4,Other,sec05,35188.43999999999,12012.22,11460.889999999998,11715.329999999998,18.015634939986278,15.449546064814816,17.076833818229883,12.25882675983082,6.000716027734913,0.0,3.1751802291224154,7.9962391917958024,15.41342627481055,11.537968566813758,22.617232105362053,26.698284115565034,27.996689029341926,11.838988975903861,54.7767892620498,48.59419439431096,42.40869772861645,45.67249607476668,5.6625366790980785,0.0,24.079982978252158,22.48640112353059,13.70670506318111,25.289101223136733,18.0951564073574,22.471427376257456,9.233740546053383,19.422447605107365,14.871939674842343,10.451132323757339,6.05330790537837,9.940157674611342,5.984629576522254,2.6784548253886613,0.0,0.0,0.0,0.0,0.0,8.3331401558845,10.140634518736105,24.927580104464198,35.30876879263802,42.189033073869126,47.90566416582823,52.53692570375174,58.08865046526245,65.12990182215397,63.71666255620058,61.53927106110582,57.54281157316594,51.26514806741541,50.592034327131906,53.537030405163996,57.37947514848632,52.86184116250382,50.4378606663666,47.15531570876917,42.63631867373255,37.785519346386316,33.607230770545165,27.250567800259113,24.91462663209925,20.27680963815538,15.95604835081352,14.396425374657067,16.276579605933723,15.853210263464971,16.164776896504907,17.37810355474109,19.31695869170095,16.508122981109967
Left,Cipelang MC.,L_M1,L_Cpl_05,L_Cpl_06,B.Cpl.1.4,B.Cpl.1,DS,sec06,34752.22999999999,11576.009999999998,11460.889999999998,11715.329999999998,17.652045348936895,15.137733953350052,16.756578267443277,12.084123035122317,6.000716027734913,0.0,3.05944101661558,7.704766468897634,14.851587988367264,11.117395465607235,22.056678772025233,26.199876355730073,27.819893438742646,11.838988975903861,54.291911969740106,48.14080905400104,41.98004249777798,45.153695606177436,5.6625366790980785,0.0,23.66956192951245,22.150347679975635,13.70670506318111,25.15882812214222,17.92652821082319,22.448128143575694,9.233740546053383,19.422447605107365,14.871939674842343,10.451132323757339,6.05330790537837,9.940157674611342,5.984629576522254,2.6784548253886613,0.0,0.0,0.0,0.0,0.0,8.029386979763936,9.77099595688271,24.01893924542573,34.27319590570161,41.23053029999024,47.03449559122399,51.934741839939996,57.48221195896101,64.50925584896726,63.08638032427971,60.907912505936075,56.93132067890798,50.641690991155116,49.9749592146062,52.88246125569769,56.68508203881125,52.25623838954859,49.89572297721622,46.75940602994974,42.36094453616181,37.63356782889661,33.50592975888536,27.18928068820493,24.765460892430184,20.05875921055764,15.72249886843183,14.158590859482171,16.005384135093962,15.545918709645525,15.806898149987846,16.980598384988,18.901766365312056,16.170577880158326
Left,Cipelang MC.,L_M1,L_Cpl_06,L_Cpl_07,B.Cpl.1,B.Cpl.2.1,DS,sec07,34732.98999999999,11556.769999999999,11460.889999999998,11715.329999999998,17.637244206961586,15.125040588509519,16.74354118389561,12.077011130115457,6.000716027734913,0.0,3.054729461173413,7.692901087545285,14.828716463853018,11.100274617444375,22.03385955586587,26.179586984976577,27.81269637727145,11.838988975903861,54.272173402353275,48.12235247285392,41.96259263923888,45.13257608135748,5.6625366790980785,0.0,23.652854354923978,22.136667489860752,13.70670506318111,25.153524915695034,17.919663630704875,22.4471796696388,9.233740546053383,19.422447605107365,14.871939674842343,10.451132323757339,6.05330790537837,9.940157674611342,5.984629576522254,2.6784548253886613,0.0,0.0,0.0,0.0,0.0,8.017021681097834,9.755948571126284,23.981949951204253,34.23103941469458,41.19151120816486,46.99903173286675,51.91022791247086,57.45752483190339,64.48399035899811,63.06072255786167,60.88221092414596,56.90642787733905,50.616311065743595,49.94983908857739,52.85581480829544,56.656814422641844,52.23158528383871,49.87365343203446,46.74328918967196,42.3497345020826,37.627382129308124,33.501805959159704,27.18678578937091,24.75938859733416,20.049882731648175,15.712991448164336,14.148909002486285,15.994344207753427,15.533409369367746,15.792329487222071,16.96441659486454,18.8848645597565,16.156836967092485
Left,Cipelang MC.,L_M1,L_Cpl_07,L_Cpl_08,B.Cpl.2.1,B.Cpl.2,Other,sec08,34659.58999999999,11483.369999999999,11460.889999999998,11715.329999999998,17.58077831189986,15.076615797485855,16.693805116723112,12.04987943429927,6.000716027734913,0.0,3.0367550240915486,7.647635027708359,14.741462311080367,11.034959115617239,21.946804957835862,26.10218366827665,27.785239812199436,11.838988975903861,54.19687138332035,48.051941191346714,41.89602197308662,45.052005752782364,5.6625366790980785,0.0,23.589115478895167,22.084477991189633,13.70670506318111,25.133293348479672,17.893475471625656,22.44356127114771,9.233740546053383,19.422447605107365,14.871939674842343,10.451132323757339,6.05330790537837,9.940157674611342,5.984629576522254,2.6784548253886613,0.0,0.0,0.0,0.0,0.0,7.96984845229888,9.698543263718715,23.840836947261582,34.070213716154214,41.04265458966263,46.86373821917539,51.8167080436437,57.36334421204743,64.38760330267095,62.9628389791151,60.78416019112126,56.81146261563636,50.519487441772405,49.85400659114941,52.7541594424261,56.54897434848204,52.137534454363404,49.789458805405516,46.6818039466164,42.306968571655645,37.603783878279316,33.486073791807165,27.177267828122627,24.736222980907552,20.01601924142184,15.676720936333064,14.111973019976,15.952227229229765,15.485686626312193,15.736750493094844,16.90268357017319,18.82038469864539,16.104415812257095
